129,129,124,130,126,127,122,129,14,128,118,125,128,130,138,125,125
129,129,124,130,126,127,122,129,14,128,118,125,128,130,138,125,125
112,112,99,145,131,99,117,128,29,118,93,111,119,133,158,145,145
105,105,97,104,111,134,96,127,11,125,114,98,109,129,114,129,129
107,107,109,117,92,81,105,129,6,126,111,93,78,121,105,118,118
101,101,99,75,101,100,108,122,0,125,76,79,90,94,122,118,118
120,120,71,68,112,116,125,114,1,125,90,75,115,103,79,99,99
129,129,126,127,126,130,128,118,2,115,115,111,119,129,127,128,128
16,16,25,15,18,4,1,4,35,6,7,7,18,20,14,21,21
128,128,126,128,128,127,115,118,8,125,120,87,90,108,96,122,122
129,129,93,91,104,76,97,129,6,121,96,80,89,109,116,113,113
129,129,117,102,91,108,90,128,14,115,108,111,105,90,109,100,100
125,125,94,117,78,124,124,124,29,113,117,115,106,80,100,100,100
120,120,95,81,119,87,103,127,31,109,111,111,87,86,86,114,114
120,120,103,113,125,109,124,121,9,101,86,118,104,100,78,117,117
128,128,128,130,145,127,123,123,0,114,95,93,112,84,105,122,122
128,128,128,130,145,127,123,123,0,114,95,93,112,84,105,122,122
