129,129,109,153,143,118,158,144,42,102,175,157,133,114,177,72,72
129,129,109,153,143,118,158,144,42,102,175,157,133,114,177,72,72
102,102,110,157,109,97,111,114,6,102,99,86,122,122,183,151,151
83,83,107,103,133,137,39,130,2,103,110,75,93,94,135,121,121
105,105,99,144,81,116,80,125,48,102,107,108,77,95,100,108,108
95,95,100,66,85,108,66,126,22,71,53,98,88,147,137,100,100
192,192,73,79,119,119,136,113,7,112,85,80,141,132,36,87,87
144,144,144,135,122,172,122,118,0,137,101,140,85,102,127,118,118
32,32,28,27,0,25,0,29,42,38,14,0,34,0,0,59,59
114,114,130,100,184,113,124,97,8,104,151,58,62,65,120,140,140
122,122,44,116,78,82,141,93,0,111,57,63,99,61,110,139,139
116,116,107,169,45,159,106,123,0,112,121,97,116,133,101,102,102
68,68,40,158,88,100,143,115,57,141,153,114,48,62,117,81,81
137,137,69,78,117,106,85,126,19,91,87,82,100,82,83,112,112
145,145,144,132,95,121,148,85,67,72,166,153,87,80,77,127,127
131,131,141,166,134,171,129,128,9,112,116,74,113,73,64,122,122
131,131,141,166,134,171,129,128,9,112,116,74,113,73,64,122,122
